"id","location","claim","expected","artifact","field","tolerance","computed","status","note"
"T1-respiratory-COPD-major-CT-est","Table 1","respiratory, COPD-major, CT-based est","36.27","Table_8_resp.csv","x[[""bhatt_HR""]][x$group == ""COPD-major""]",0.005,"36.2658152782215","PASS",""
"T1-respiratory-COPD-major-CT-lo","Table 1","respiratory, COPD-major, CT-based lo","20.85","Table_8_resp.csv","x[[""bhatt_LCI""]][x$group == ""COPD-major""]",0.005,"20.8523834063552","PASS",""
"T1-respiratory-COPD-major-CT-hi","Table 1","respiratory, COPD-major, CT-based hi","63.07","Table_8_resp.csv","x[[""bhatt_UCI""]][x$group == ""COPD-major""]",0.005,"63.0723755728206","PASS",""
"T1-respiratory-COPD-major-ESI-est","Table 1","respiratory, COPD-major, ESI-based est","30.95","Table_8_resp.csv","x[[""esi_HR""]][x$group == ""COPD-major""]",0.005,"30.9519765085149","PASS",""
"T1-respiratory-COPD-major-ESI-lo","Table 1","respiratory, COPD-major, ESI-based lo","18.76","Table_8_resp.csv","x[[""esi_LCI""]][x$group == ""COPD-major""]",0.005,"18.7617060191883","PASS",""
"T1-respiratory-COPD-major-ESI-hi","Table 1","respiratory, COPD-major, ESI-based hi","51.06","Table_8_resp.csv","x[[""esi_UCI""]][x$group == ""COPD-major""]",0.005,"51.0627790886313","PASS",""
"T1-exacerbations-COPD-minor-CT-est","Table 1","exacerbations, COPD-minor, CT-based est","2.72","Table_Exacerbations_Bhatt.csv","x[[""bhatt_IRR""]][x$group == ""COPD-minor""]",0.005,"2.71836919629532","PASS",""
"T1-exacerbations-COPD-minor-CT-lo","Table 1","exacerbations, COPD-minor, CT-based lo","2.36","Table_Exacerbations_Bhatt.csv","x[[""bhatt_LCI""]][x$group == ""COPD-minor""]",0.005,"2.35536218785583","PASS",""
"T1-exacerbations-COPD-minor-CT-hi","Table 1","exacerbations, COPD-minor, CT-based hi","3.14","Table_Exacerbations_Bhatt.csv","x[[""bhatt_UCI""]][x$group == ""COPD-minor""]",0.005,"3.13732262726618","PASS",""
"T1-exacerbations-COPD-minor-ESI-est","Table 1","exacerbations, COPD-minor, ESI-based est","2.77","Table_Exacerbations_Bhatt.csv","x[[""esi_IRR""]][x$group == ""COPD-minor""]",0.005,"2.77361782409067","PASS",""
"T1-exacerbations-COPD-minor-ESI-lo","Table 1","exacerbations, COPD-minor, ESI-based lo","2.33","Table_Exacerbations_Bhatt.csv","x[[""esi_LCI""]][x$group == ""COPD-minor""]",0.005,"2.3286417148671","PASS",""
"T1-exacerbations-COPD-minor-ESI-hi","Table 1","exacerbations, COPD-minor, ESI-based hi","3.3","Table_Exacerbations_Bhatt.csv","x[[""esi_UCI""]][x$group == ""COPD-minor""]",0.005,"3.30362364678007","PASS",""
"T1-exacerbations-COPD-major-CT-est","Table 1","exacerbations, COPD-major, CT-based est","5.05","Table_Exacerbations_Bhatt.csv","x[[""bhatt_IRR""]][x$group == ""COPD-major""]",0.005,"5.05332574123943","PASS",""
"T1-exacerbations-COPD-major-CT-lo","Table 1","exacerbations, COPD-major, CT-based lo","4.59","Table_Exacerbations_Bhatt.csv","x[[""bhatt_LCI""]][x$group == ""COPD-major""]",0.005,"4.5928330373737","PASS",""
"T1-exacerbations-COPD-major-CT-hi","Table 1","exacerbations, COPD-major, CT-based hi","5.56","Table_Exacerbations_Bhatt.csv","x[[""bhatt_UCI""]][x$group == ""COPD-major""]",0.005,"5.55998897396784","PASS",""
"T1-exacerbations-COPD-major-ESI-est","Table 1","exacerbations, COPD-major, ESI-based est","4.47","Table_Exacerbations_Bhatt.csv","x[[""esi_IRR""]][x$group == ""COPD-major""]",0.005,"4.46803812701885","PASS",""
"T1-exacerbations-COPD-major-ESI-lo","Table 1","exacerbations, COPD-major, ESI-based lo","4.07","Table_Exacerbations_Bhatt.csv","x[[""esi_LCI""]][x$group == ""COPD-major""]",0.005,"4.07169765007842","PASS",""
"T1-exacerbations-COPD-major-ESI-hi","Table 1","exacerbations, COPD-major, ESI-based hi","4.9","Table_Exacerbations_Bhatt.csv","x[[""esi_UCI""]][x$group == ""COPD-major""]",0.005,"4.9029585249557","PASS",""
"T1-p-all-cause-COPD-minor","Table 1","CT vs ESI p, all-cause, COPD-minor","0.848","Supp_Table_HR_Difference_Bootstrap.csv","x$two_sided_p[x$outcome == ""all-cause"" & x$category == ""COPD-minor""]",0.01,"0.848","PASS",""
"T1-p-all-cause-COPD-major","Table 1","CT vs ESI p ""<0.002"" (no resample crossed zero), all-cause, COPD-major","TRUE","Supp_Table_HR_Difference_Bootstrap.csv","{ i <- which(x$outcome == ""all-cause"" & x$category == ""COPD-major""); is.na(x$two_sided_p[i]) && x$ci_lo_logHR[i] * x$ci_hi_logHR[i] > 0 }",0,"TRUE","PASS",""
"T1-p-respiratory-COPD-minor","Table 1","CT vs ESI p, respiratory, COPD-minor","0.702","Supp_Table_HR_Difference_Bootstrap.csv","x$two_sided_p[x$outcome == ""respiratory"" & x$category == ""COPD-minor""]",0.01,"0.701923076923077","PASS",""
"T1-p-respiratory-COPD-major","Table 1","CT vs ESI p, respiratory, COPD-major","0.293","Supp_Table_HR_Difference_Bootstrap.csv","x$two_sided_p[x$outcome == ""respiratory"" & x$category == ""COPD-major""]",0.01,"0.293269230769231","PASS",""
"T1-p-exacerbations-COPD-minor","Table 1","CT vs ESI p, exacerbations, COPD-minor","0.796","Supp_Table_IRR_Difference_Bootstrap.csv","x$two_sided_p[x$outcome == ""exacerbations"" & x$category == ""COPD-minor""]",0.01,"0.796","PASS",""
"T1-p-exacerbations-COPD-major","Table 1","CT vs ESI p ""<0.002"" (no resample crossed zero), exacerbations, COPD-major","TRUE","Supp_Table_IRR_Difference_Bootstrap.csv","{ i <- which(x$outcome == ""exacerbations"" & x$category == ""COPD-major""); is.na(x$two_sided_p[i]) && x$ci_lo_logIRR[i] * x$ci_hi_logIRR[i] > 0 }",0,"TRUE","PASS",""
"T2-CT-only-COPD-all-est","Table 2","CT-only-COPD, all-cause mortality HR, est","1.53","Table_BhattOnly_vs_Both.csv","x[[""all_HR""]][x$group == ""CT-only-COPD (ESI missed)""]",0.005,"1.53030082691635","PASS",""
"T2-CT-only-COPD-all-lo","Table 2","CT-only-COPD, all-cause mortality HR, lo","1.25","Table_BhattOnly_vs_Both.csv","x[[""all_LCI""]][x$group == ""CT-only-COPD (ESI missed)""]",0.005,"1.24547288076706","PASS",""
"T2-CT-only-COPD-all-hi","Table 2","CT-only-COPD, all-cause mortality HR, hi","1.88","Table_BhattOnly_vs_Both.csv","x[[""all_UCI""]][x$group == ""CT-only-COPD (ESI missed)""]",0.005,"1.88026624828523","PASS",""
"T2-CT-only-COPD-rsp-est","Table 2","CT-only-COPD, respiratory mortality HR, est","2.9","Table_BhattOnly_vs_Both.csv","x[[""resp_HR""]][x$group == ""CT-only-COPD (ESI missed)""]",0.005,"2.90049540336537","PASS",""
"T2-CT-only-COPD-rsp-lo","Table 2","CT-only-COPD, respiratory mortality HR, lo","0.91","Table_BhattOnly_vs_Both.csv","x[[""resp_LCI""]][x$group == ""CT-only-COPD (ESI missed)""]",0.005,"0.906991998511462","PASS",""
"T2-CT-only-COPD-rsp-hi","Table 2","CT-only-COPD, respiratory mortality HR, hi","9.28","Table_BhattOnly_vs_Both.csv","x[[""resp_UCI""]][x$group == ""CT-only-COPD (ESI missed)""]",0.005,"9.27557640943986","PASS",""
"T2-CT-only-COPD-exa-est","Table 2","CT-only-COPD, exacerbation IRR, est","2","Table_Exacerbations_Discordance.csv","x[[""IRR""]][x$group == ""CT-only-COPD (ESI missed)""]",0.005,"2.00209841235729","PASS",""
"T2-CT-only-COPD-exa-lo","Table 2","CT-only-COPD, exacerbation IRR, lo","1.6","Table_Exacerbations_Discordance.csv","x[[""LCI""]][x$group == ""CT-only-COPD (ESI missed)""]",0.005,"1.59910995308487","PASS",""
"T2-CT-only-COPD-exa-hi","Table 2","CT-only-COPD, exacerbation IRR, hi","2.51","Table_Exacerbations_Discordance.csv","x[[""UCI""]][x$group == ""CT-only-COPD (ESI missed)""]",0.005,"2.50664317674399","PASS",""
"T2-ESI-only-COPD-all-est","Table 2","ESI-only-COPD, all-cause mortality HR, est","1.26","Table_BhattOnly_vs_Both.csv","x[[""all_HR""]][x$group == ""ESI-only-COPD (Bhatt missed)""]",0.005,"1.25714150870612","PASS",""
"T2-ESI-only-COPD-all-lo","Table 2","ESI-only-COPD, all-cause mortality HR, lo","0.76","Table_BhattOnly_vs_Both.csv","x[[""all_LCI""]][x$group == ""ESI-only-COPD (Bhatt missed)""]",0.005,"0.763654239167517","PASS",""
"T2-ESI-only-COPD-all-hi","Table 2","ESI-only-COPD, all-cause mortality HR, hi","2.07","Table_BhattOnly_vs_Both.csv","x[[""all_UCI""]][x$group == ""ESI-only-COPD (Bhatt missed)""]",0.005,"2.06952923437543","PASS",""
"T2-ESI-only-COPD-rsp-est","Table 2","ESI-only-COPD, respiratory mortality HR, est","4.86","Table_BhattOnly_vs_Both.csv","x[[""resp_HR""]][x$group == ""ESI-only-COPD (Bhatt missed)""]",0.005,"4.8587945736931","PASS",""
"T2-ESI-only-COPD-rsp-lo","Table 2","ESI-only-COPD, respiratory mortality HR, lo","0.62","Table_BhattOnly_vs_Both.csv","x[[""resp_LCI""]][x$group == ""ESI-only-COPD (Bhatt missed)""]",0.005,"0.620863536874124","PASS",""
"T2-ESI-only-COPD-rsp-hi","Table 2","ESI-only-COPD, respiratory mortality HR, hi","38.02","Table_BhattOnly_vs_Both.csv","x[[""resp_UCI""]][x$group == ""ESI-only-COPD (Bhatt missed)""]",0.005,"38.0242731409365","PASS",""
"T2-ESI-only-COPD-exa-est","Table 2","ESI-only-COPD, exacerbation IRR, est","1.62","Table_Exacerbations_Discordance.csv","x[[""IRR""]][x$group == ""ESI-only-COPD (Bhatt missed)""]",0.005,"1.61587230983906","PASS",""
"T2-ESI-only-COPD-exa-lo","Table 2","ESI-only-COPD, exacerbation IRR, lo","0.97","Table_Exacerbations_Discordance.csv","x[[""LCI""]][x$group == ""ESI-only-COPD (Bhatt missed)""]",0.005,"0.974774724949919","PASS",""
"T2-ESI-only-COPD-exa-hi","Table 2","ESI-only-COPD, exacerbation IRR, hi","2.68","Table_Exacerbations_Discordance.csv","x[[""UCI""]][x$group == ""ESI-only-COPD (Bhatt missed)""]",0.005,"2.67861204735153","PASS",""
"T2-Both-COPD-all-est","Table 2","Both-COPD, all-cause mortality HR, est","2.02","Table_BhattOnly_vs_Both.csv","x[[""all_HR""]][x$group == ""Both-COPD""]",0.005,"2.02359782343009","PASS",""
"T2-Both-COPD-all-lo","Table 2","Both-COPD, all-cause mortality HR, lo","1.66","Table_BhattOnly_vs_Both.csv","x[[""all_LCI""]][x$group == ""Both-COPD""]",0.005,"1.66297237383793","PASS",""
"T2-Both-COPD-all-hi","Table 2","Both-COPD, all-cause mortality HR, hi","2.46","Table_BhattOnly_vs_Both.csv","x[[""all_UCI""]][x$group == ""Both-COPD""]",0.005,"2.4624270465422","PASS",""
"T2-Both-COPD-rsp-est","Table 2","Both-COPD, respiratory mortality HR, est","6.1","Table_BhattOnly_vs_Both.csv","x[[""resp_HR""]][x$group == ""Both-COPD""]",0.005,"6.0998450379278","PASS",""
"T2-Both-COPD-rsp-lo","Table 2","Both-COPD, respiratory mortality HR, lo","2.19","Table_BhattOnly_vs_Both.csv","x[[""resp_LCI""]][x$group == ""Both-COPD""]",0.005,"2.19424888098745","PASS",""
"T2-Both-COPD-rsp-hi","Table 2","Both-COPD, respiratory mortality HR, hi","16.96","Table_BhattOnly_vs_Both.csv","x[[""resp_UCI""]][x$group == ""Both-COPD""]",0.005,"16.9571053717425","PASS",""
"T2-Both-COPD-exa-est","Table 2","Both-COPD, exacerbation IRR, est","3.15","Table_Exacerbations_Discordance.csv","x[[""IRR""]][x$group == ""Both-COPD""]",0.005,"3.14820121790707","PASS",""
"T2-Both-COPD-exa-lo","Table 2","Both-COPD, exacerbation IRR, lo","2.52","Table_Exacerbations_Discordance.csv","x[[""LCI""]][x$group == ""Both-COPD""]",0.005,"2.52123557142788","PASS",""
"T2-Both-COPD-exa-hi","Table 2","Both-COPD, exacerbation IRR, hi","3.93","Table_Exacerbations_Discordance.csv","x[[""UCI""]][x$group == ""Both-COPD""]",0.005,"3.93107689767303","PASS",""
"T2-p-both-vs-ct","Table 2 legend","Both-COPD vs CT-only exacerbation IRR, p = 0.005","0.005","Table_2_pairwise_contrasts.csv","x$p_adj[x$outcome == ""exacerbations"" & x$contrast == ""Both-COPD - CT-only-COPD""]",5e-04,"0.00500420599109608","PASS",""
"T2-p-both-vs-esi","Table 2 legend","Both-COPD vs ESI-only exacerbation IRR, p = 0.037","0.037","Table_2_pairwise_contrasts.csv","x$p_adj[x$outcome == ""exacerbations"" & x$contrast == ""Both-COPD - ESI-only-COPD""]",5e-04,"0.0366111968948988","PASS",""
"T2-n-mortality","Table 2 legend","mortality models fit on 5,289 participants","5289","Table_2_model_Ns.txt","as.numeric(x[[""n_mortality_model""]])",0,"<artifact absent: Table_2_model_Ns.txt>","ERROR",""
"T2-n-exacerbation","Table 2 legend","exacerbation model fit on 4,635 participants","4635","Table_2_model_Ns.txt","as.numeric(x[[""n_exacerbation_model""]])",0,"<artifact absent: Table_2_model_Ns.txt>","ERROR",""
"T2-n-mortality-xcheck","Table 2 legend (cross-check)","preserved-spirometry subgroup size from the cross-tab equals the mortality model N","5289","Table_6.csv","sum(as.matrix(x[x$Bhatt %in% c(""noCOPD"",""COPD-minor""), -1]))",0,"5289","PASS",""
"PRO-01","Results P5","AFL-only-noCOPD FEV1 +10.1 mL/yr under the ESI framework","10.1","Table_BhattDecline.csv","x$esi_est[x$group == ""AFL-only-NoCOPD""]",0.05,"10.1475993576321","PASS",""
"PRO-02","Results P5","AFL-only-noCOPD FEV1 decline p = 0.02","0.02","Table_BhattDecline.csv","x$esi_p[x$group == ""AFL-only-NoCOPD""]",0.005,"0.0157589845467556","PASS",""
"PRO-03","Results P6","GOLD 0: 4.73 mL/yr additional FEV1 decline per 1-unit ESI","4.73","Supp_Table_Continuous_FEV1Decline_GOLD0.txt","abs(as.numeric(x[[""gold0_esi_est""]]))",0.005,"4.73","PASS",""
"PRO-04","Results P6","that GOLD 0 slope is negative, i.e. a decline","-1","Supp_Table_Continuous_FEV1Decline_GOLD0.txt","sign(as.numeric(x[[""gold0_esi_est""]]))",0,"-1","PASS",""
"PRO-05","Results P6","GOLD 0 FEV1-decline P = 0.001","0.001","Supp_Table_Continuous_FEV1Decline_GOLD0.txt","as.numeric(x[[""gold0_esi_p""]])",5e-04,"0.001307","PASS",""
"PRO-06","Results P6; Discussion P3","mean bronchodilator dESI = -0.09","-0.09","Supp_Bronchodilator_deltaESI.txt","as.numeric(x[[""mean_delta""]])",0.005,"-0.0888","PASS",""
"PRO-07","Discussion P3","n = 10,160 paired pre/post-bronchodilator measurements","10160","Supp_Bronchodilator_deltaESI.txt","as.numeric(x[[""n_paired""]])",0,"10160","PASS","Local-only. 10,160 locally, 10,397 on the cluster: the ESI extracts differ OUTSIDE the analytic cohort. d_b is 9,402 in both places, so no analytic-cohort claim is affected. Not reproducible across sites."
"PRO-08","Discussion P8","continuous ESI adjusted for FEV1/FVC, IRR = 1.01","1.01","Table_S6b_continuous_exacerbations.csv","parse_est(x$ESI_IRR[x$model == ""ESI + FEV1/FVC""], ""est"")",0.005,"1.01","PASS",""
"PRO-09","Discussion P8","continuous ESI adjusted for FEV1/FVC, p = 0.727","0.727","Table_S6b_continuous_exacerbations.csv","num_p(x$ESI_p[x$model == ""ESI + FEV1/FVC""])",5e-04,"0.727","PASS",""
"PRO-10","Discussion, limitations","ESI-only-COPD subgroup n = 94","94","Table_BhattOnly_vs_Both.csv","x$n[x$group == ""ESI-only-COPD (Bhatt missed)""]",0,"94","PASS",""
"PRO-11","Discussion, limitations","AFL-only-noCOPD subgroup n = 170","170","Table_6.csv","sum(as.numeric(x[x$Bhatt == ""AFL-only-NoCOPD"", -1]))",0,"170","PASS",""
"SIG-01","Results P4; Discussion P7","AFL-only-noCOPD not significantly associated with all-cause mortality under either framework","TRUE","Table_8_allcause.csv","all(c(x$bhatt_p, x$esi_p)[x$group == ""AFL-only-NoCOPD""] > 0.05)",0,"TRUE","PASS",""
"SIG-02","Results P4; Discussion P7","AFL-only-noCOPD not significantly associated with respiratory mortality under either framework","TRUE","Table_8_resp.csv","all(c(x$bhatt_p, x$esi_p)[x$group == ""AFL-only-NoCOPD""] > 0.05)",0,"TRUE","PASS",""
"SIG-03","Results P4; Discussion P7","AFL-only-noCOPD not significantly associated with exacerbations under either framework","TRUE","Table_Exacerbations_Bhatt.csv","all(c(x$bhatt_p, x$esi_p)[x$group == ""AFL-only-NoCOPD""] > 0.05)",0,"TRUE","PASS",""
"SIG-04","Results P5","AFL-only-noCOPD FEV1 increase is significant under ESI but NOT under the CT framework","TRUE","Table_BhattDecline.csv","{ i <- which(x$group == ""AFL-only-NoCOPD""); x$esi_p[i] < 0.05 && x$bhatt_p[i] >= 0.05 }",0,"TRUE","PASS",""
"MET-01","Methods, equivalence","C-index equivalence margin +/-0.02, all-cause","TRUE","Table_1_Cindex_Equivalence.csv","abs(x$delta_c[x$outcome == ""all-cause""]) < 0.02 && x$equivalent_within_margin[x$outcome == ""all-cause""]",0,"TRUE","PASS",""
"MET-02","Methods, equivalence","C-index equivalence margin +/-0.02, respiratory","TRUE","Table_1_Cindex_Equivalence.csv","abs(x$delta_c[x$outcome == ""respiratory""]) < 0.02 && x$equivalent_within_margin[x$outcome == ""respiratory""]",0,"TRUE","PASS",""
"MET-03","Methods, ESI thresholds","lower threshold ESI = 1","1","<analysis source>","CONSTS[[""ESI_T_LOW""]]",0,"1","PASS",""
"MET-04","Methods, ESI thresholds","upper threshold ESI = 2.5","2.5","<analysis source>","CONSTS[[""ESI_T_HIGH""]]",0,"2.5","PASS",""
"MET-05","Methods, equivalence","paired bootstrap B = 1,000","1000","<analysis source>","CONSTS[[""B_BOOTSTRAP""]]",0,"1000","PASS",""
"MET-07","Methods, ESI thresholds","thresholds derived in a randomly selected 80% training cohort","0.8","<analysis source>","CONSTS[[""TRAIN_FRAC""]]",0,"0.8","PASS",""
"MET-08","Methods, MD-COPD framework","post-bronchodilator FEV1/FVC below 0.70","0.7","<analysis source>","CONSTS[[""MET-08""]]",0,"0.7","PASS",""
"MET-09","Methods, MD-COPD framework","visual emphysema Fleischner at least mild (>= 1)","1","<analysis source>","CONSTS[[""MET-09""]]",0,"1","PASS",""
"MET-10","Methods, MD-COPD framework","airway wall thickening Fleischner definite (== 2)","2","<analysis source>","CONSTS[[""MET-10""]]",0,"2","PASS",""
"MET-11","Methods, MD-COPD framework","mMRC dyspnea score of 2 or greater","2","<analysis source>","CONSTS[[""MET-11""]]",0,"2","PASS",""
"MET-12","Methods, MD-COPD framework","SGRQ total score of 25 or greater","25","<analysis source>","CONSTS[[""MET-12""]]",0,"25","PASS",""
"MET-13","Methods, MD-COPD framework","COPD-major: major criterion plus at least 1 of 5 minor","1","<analysis source>","CONSTS[[""MET-13""]]",0,"1","PASS",""
"MET-14","Methods, MD-COPD framework","COPD-minor: at least 3 of 5 minor without the major","3","<analysis source>","CONSTS[[""MET-14""]]",0,"3","PASS",""
"MET-06","Methods, statistical analysis","all analyses performed in R version 4.5.2","4.5.2","PROVENANCE.txt","x[[""r_version""]]",0,"<artifact absent: PROVENANCE.txt>","ERROR",""
"PRV-01","provenance","artifacts were produced by the current analysis source","f86b9539fb901ef92c9f86731582f10f","PROVENANCE.txt","-",0,"<PROVENANCE.txt absent>","ERROR","The analysis has not been run since the provenance stamp was added."
"PRV-02","provenance","registry was transcribed from the pinned manuscript","314428a11ec31f88c3d28f565437f6d2","ESI manuscript draft v12 2026.8.22_PJC.docx","-",0,"314428a11ec31f88c3d28f565437f6d2","PASS",""
