"id","section","claim","expected","computed","artifact","status","error"
"LAB-03","Labels","S4 holds COPD-major at 3,541","3541","3541","schema_labels.csv","PASS",""
"LAB-04","Labels","S3 calls 1,108 AFL-only against the reference's 275","1108","1108","schema_labels.csv","PASS",""
"RECL-01","Reclassification","833 COPD-major become AFL-only-noCOPD without CT","833","833","reclassification.csv","PASS",""
"RECL-02","Reclassification","350 do so with ESI","350","350","reclassification.csv","PASS",""
"RECL-03","Reclassification","21.9% of COPD-major qualify only through a CT finding","21.9","21.8692570228406","reclassification.csv","PASS",""
"RECL-04","Reclassification","that is 833 of 3,809 participants","833","833","reclassification.csv","PASS",""
"RECL-05","Reclassification","the CT-only COPD-major group is exactly the group schema 3 loses","TRUE","TRUE","reclassification.csv","PASS",""
"RECL-06","Reclassification","schema 3 keeps all 275 true AFL-only","275","275","reclassification.csv","PASS",""
"CRUDE-01","Crude estimates","without CT, AFL-only crude all-cause rate ratio 1.54","1.54","1.54056669483856","schema_crude.csv","PASS",""
"CRUDE-02","Crude estimates","and its interval excludes 1, so the label is false unadjusted too","TRUE","TRUE","schema_crude.csv","PASS",""
"CRUDE-03","Crude estimates","without CT, AFL-only crude respiratory rate ratio 9.38","9.38","9.379620761005","schema_crude.csv","PASS",""
"CRUDE-04","Crude estimates","with ESI, AFL-only crude all-cause rate ratio 1.29","1.29","1.28533122413817","schema_crude.csv","PASS",""
"CRUDE-05","Crude estimates","and its interval excludes 1","TRUE","TRUE","schema_crude.csv","PASS",""
"CRUDE-06","Crude estimates","with CT, AFL-only crude all-cause rate ratio 1.05","1.05","1.05442820483963","schema_crude.csv","PASS",""
"RISK-01","Label meaning","S2 AFL-only all-cause HR 0.87","0.87","0.867600183260154","schema_risk.csv","PASS",""
"RISK-01b","Label meaning","S2 AFL-only interval crosses 1","TRUE","TRUE","schema_risk.csv","PASS",""
"RISK-01c","Label meaning","the CT schema's AFL-only exacerbation interval crosses 1","TRUE","TRUE","schema_risk.csv","PASS",""
"CRUDE-07","Crude estimates","and its crude exacerbation ratio crosses 1","TRUE","TRUE","schema_crude.csv","PASS",""
"RISK-02","Label meaning","S3 AFL-only respiratory HR 6.37","6.37","6.37340468816934","schema_risk.csv","PASS",""
"RISK-02b","Label meaning","S3 AFL-only respiratory risk is significantly elevated, so the label is false","TRUE","TRUE","schema_risk.csv","PASS",""
"RISK-03","Label meaning","S3 AFL-only exacerbation IRR 1.78","1.78","1.77554509059405","schema_risk.csv","PASS",""
"RISK-04","Label meaning","S4 AFL-only all-cause HR 0.96","0.96","0.959197243490613","schema_risk.csv","PASS",""
"RISK-04b","Label meaning","S4 AFL-only shows no excess in either mortality outcome","TRUE","TRUE","schema_risk.csv","PASS",""
"RISK-04c","Label meaning","but its exacerbation interval excludes 1","TRUE","TRUE","schema_risk.csv","PASS",""
"RISK-04d","Label meaning","S4 AFL-only exacerbation IRR 1.23 matches S2's 1.21","1.23","1.23402806282094","schema_risk.csv","PASS",""
"RISK-04e","Label meaning","S2 AFL-only exacerbation IRR 1.21","1.21","1.21181476324494","schema_risk.csv","PASS",""
"RISK-05","Label meaning","S4 COPD-minor HR 1.96 tracks S2's 1.83","1.96","1.96067655232336","schema_risk.csv","PASS",""
"RISK-06","Label meaning","S4 COPD-major HR 2.93","2.93","2.92636273041305","schema_risk.csv","PASS",""
"RISK-07","Label meaning","the CT schema's COPD-major all-cause HR is 2.54","2.54","2.54070547194037","schema_risk.csv","PASS",""
"RISK-08","Label meaning","without CT the same category's HR rises to 3.34, being smaller and more severe","3.34","3.33572309694253","schema_risk.csv","PASS",""
"DISC-01","Discrimination","S3 has the best all-cause C-index, 0.721","0.721","0.720808140104198","schema_discrimination.csv","PASS",""
"DISC-01b","Discrimination","S3 out-discriminates every other schema, which the paper must state","TRUE","TRUE","schema_discrimination.csv","PASS",""
"DISC-02","Discrimination","S4 discriminates better than S2 on all-cause","TRUE","TRUE","schema_discrimination.csv","PASS",""
"DISC-03","Discrimination","S4 discriminates better than S2 on respiratory","TRUE","TRUE","schema_discrimination.csv","PASS",""
"BD-01","Discussion","mean ESI change on bronchodilation is -0.09","-0.09","-0.0888","Supp_Bronchodilator_deltaESI.txt","PASS",""
"BD-02","Discussion","on 10,160 paired measurements","10160","10160","Supp_Bronchodilator_deltaESI.txt","PASS",""
